time,symbol,open,high,low,close,close_time,volume,unkown2,unkown3,unkown4,unkown5,unkown6
2023-02-23 00:00:00,BTCUSDT,1617.13,1617.13,1617.13,1617.13,0.0,1677110459999,0.0,0,0.0,0.0,0
2023-02-23 00:01:00,BTCUSDT,1617.13,1617.13,1617.13,1617.13,0.0,1677110519999,0.0,0,0.0,0.0,0
2023-02-23 00:02:00,BTCUSDT,1616.37,1616.37,1616.37,1616.37,0.1073,1677110579999,173.436501,1,0.0,0.0,0
2023-02-23 00:03:00,BTCUSDT,1616.37,1616.37,1616.37,1616.37,0.0,1677110639999,0.0,0,0.0,0.0,0
2023-02-23 00:04:00,BTCUSDT,1617.4,1617.4,1617.4,1617.4,0.502,1677110699999,811.9348,1,0.0,0.0,0
2023-02-23 00:05:00,BTCUSDT,1617.4,1617.4,1617.4,1617.4,0.0,1677110759999,0.0,0,0.0,0.0,0
2023-02-23 00:06:00,BTCUSDT,1617.27,1617.27,1615.7,1615.7,1.0894,1677110819999,1761.389157,10,0.0,0.0,0
2023-02-23 00:07:00,BTCUSDT,1615.01,1615.01,1615.0,1615.0,0.7,1677110879999,1130.502,7,0.0,0.0,0
2023-02-23 00:08:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677110939999,0.0,0,0.0,0.0,0
2023-02-23 00:09:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677110999999,0.0,0,0.0,0.0,0
2023-02-23 00:10:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677111059999,0.0,0,0.0,0.0,0
2023-02-23 00:11:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677111119999,0.0,0,0.0,0.0,0
2023-02-23 00:12:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677111179999,0.0,0,0.0,0.0,0
2023-02-23 00:13:00,BTCUSDT,1615.0,1615.0,1615.0,1615.0,0.0,1677111239999,0.0,0,0.0,0.0,0
2023-02-23 00:14:00,BTCUSDT,1618.07,1620.0,1618.07,1620.0,1.235,1677111299999,1999.701206,12,1.235,1999.701206,0
2023-02-23 00:15:00,BTCUSDT,1618.72,1622.22,1618.72,1618.99,1.6109,1677111359999,2610.859765,11,1.2335,1999.878427,0
2023-02-23 00:16:00,BTCUSDT,1619.26,1619.26,1617.26,1618.3,1.806,1677111419999,2922.513454,11,0.0,0.0,0
2023-02-23 00:17:00,BTCUSDT,1618.3,1618.3,1618.3,1618.3,0.0,1677111479999,0.0,0,0.0,0.0,0
2023-02-23 00:18:00,BTCUSDT,1620.63,1624.81,1620.54,1620.65,1.4322,1677111539999,2323.379102,12,1.2325,1999.738828,0
2023-02-23 00:19:00,BTCUSDT,1620.22,1620.22,1620.21,1620.21,0.2074,1677111599999,336.031952,2,0.0,0.0,0
2023-02-23 00:20:00,BTCUSDT,1620.21,1620.21,1618.69,1618.69,1.1443,1677111659999,1853.493291,7,0.0,0.0,0
2023-02-23 00:21:00,BTCUSDT,1618.69,1618.69,1618.69,1618.69,0.0,1677111719999,0.0,0,0.0,0.0,0
2023-02-23 00:22:00,BTCUSDT,1620.14,1620.14,1617.55,1617.55,0.1678,1677111779999,271.632608,3,0.0802,129.935228,0
2023-02-23 00:23:00,BTCUSDT,1617.55,1617.55,1617.55,1617.55,0.0,1677111839999,0.0,0,0.0,0.0,0
2023-02-23 00:24:00,BTCUSDT,1617.36,1617.36,1617.36,1617.36,0.0618,1677111899999,99.952848,2,0.0,0.0,0
2023-02-23 00:25:00,BTCUSDT,1617.36,1617.36,1617.36,1617.36,0.0,1677111959999,0.0,0,0.0,0.0,0
2023-02-23 00:26:00,BTCUSDT,1615.22,1615.22,1615.22,1615.22,0.433,1677112019999,699.39026,1,0.0,0.0,0
2023-02-23 00:27:00,BTCUSDT,1615.22,1615.22,1615.22,1615.22,0.0,1677112079999,0.0,0,0.0,0.0,0
2023-02-23 00:28:00,BTCUSDT,1616.0,1616.38,1616.0,1616.38,0.9537,1677112139999,1541.405606,4,0.6186,999.884006,0
2023-02-23 00:29:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.6649,1677112199999,1074.4784,2,0.0,0.0,0
2023-02-23 00:30:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677112259999,0.0,0,0.0,0.0,0
2023-02-23 00:31:00,BTCUSDT,1616.0,1616.0,1614.31,1615.96,2.9314,1677112319999,4736.261382,13,0.0654,105.673794,0
2023-02-23 00:32:00,BTCUSDT,1613.18,1613.18,1612.52,1613.02,0.8746,1677112379999,1410.732134,5,0.0,0.0,0
2023-02-23 00:33:00,BTCUSDT,1611.85,1611.85,1611.85,1611.85,0.303,1677112439999,488.39055,1,0.0,0.0,0
2023-02-23 00:34:00,BTCUSDT,1611.85,1611.85,1611.85,1611.85,0.0,1677112499999,0.0,0,0.0,0.0,0
2023-02-23 00:35:00,BTCUSDT,1611.85,1611.85,1611.85,1611.85,0.0,1677112559999,0.0,0,0.0,0.0,0
2023-02-23 00:36:00,BTCUSDT,1611.84,1611.84,1611.84,1611.84,0.4891,1677112619999,788.350944,2,0.0,0.0,0
2023-02-23 00:37:00,BTCUSDT,1611.25,1611.25,1611.25,1611.25,0.1241,1677112679999,199.956125,1,0.0,0.0,0
2023-02-23 00:38:00,BTCUSDT,1611.04,1611.04,1611.04,1611.04,0.0081,1677112739999,13.049424,1,0.0,0.0,0
2023-02-23 00:39:00,BTCUSDT,1611.38,1611.38,1611.38,1611.38,0.01,1677112799999,16.1138,1,0.01,16.1138,0
2023-02-23 00:40:00,BTCUSDT,1611.38,1611.38,1611.38,1611.38,0.0,1677112859999,0.0,0,0.0,0.0,0
2023-02-23 00:41:00,BTCUSDT,1612.4,1612.4,1612.4,1612.4,1.0,1677112919999,1612.4,3,0.0,0.0,0
2023-02-23 00:42:00,BTCUSDT,1612.4,1612.4,1612.4,1612.4,0.0,1677112979999,0.0,0,0.0,0.0,0
2023-02-23 00:43:00,BTCUSDT,1612.4,1612.4,1612.4,1612.4,0.0,1677113039999,0.0,0,0.0,0.0,0
2023-02-23 00:44:00,BTCUSDT,1612.4,1612.4,1612.4,1612.4,0.0,1677113099999,0.0,0,0.0,0.0,0
2023-02-23 00:45:00,BTCUSDT,1614.0,1614.0,1614.0,1614.0,1.0,1677113159999,1614.0,2,0.0,0.0,0
2023-02-23 00:46:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0422,1677113219999,68.101938,1,0.0422,68.101938,0
2023-02-23 00:47:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113279999,0.0,0,0.0,0.0,0
2023-02-23 00:48:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113339999,0.0,0,0.0,0.0,0
2023-02-23 00:49:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113399999,0.0,0,0.0,0.0,0
2023-02-23 00:50:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113459999,0.0,0,0.0,0.0,0
2023-02-23 00:51:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113519999,0.0,0,0.0,0.0,0
2023-02-23 00:52:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113579999,0.0,0,0.0,0.0,0
2023-02-23 00:53:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113639999,0.0,0,0.0,0.0,0
2023-02-23 00:54:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113699999,0.0,0,0.0,0.0,0
2023-02-23 00:55:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113759999,0.0,0,0.0,0.0,0
2023-02-23 00:56:00,BTCUSDT,1613.79,1613.79,1613.79,1613.79,0.0,1677113819999,0.0,0,0.0,0.0,0
